wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
656,63.965592,0.865265157048941,712.6
657,63.909324,0.864504017531045,712.6
658,63.853056,0.863742878013148,712.6
659,63.796788,0.862981738495252,712.6
660,63.74052,0.862220598977356,712.6
661,63.700236,0.861675675675676,712.6
662,63.659952,0.861130752373996,712.6
663,63.619668,0.860585829072316,712.6
664,63.579384,0.860040905770635,712.6
665,63.5391,0.859495982468955,712.6
666,63.498816,0.858951059167275,712.6
667,63.458532,0.858406135865595,712.6
668,63.418248,0.857861212563915,712.6
669,63.377964,0.857316289262235,712.6
670,63.33768,0.856771365960555,712.6
671,63.274608,0.855918188458729,712.6
672,63.211536,0.855065010956903,712.6
673,63.148464,0.854211833455077,712.6
674,63.085392,0.85335865595325,712.6
675,63.02232,0.852505478451424,712.6
676,62.959248,0.851652300949598,712.6
677,62.896176,0.850799123447772,712.6
678,62.833104,0.849945945945946,712.6
679,62.770032,0.84909276844412,712.6
680,62.70696,0.848239590942294,712.6
681,62.59302,0.846698319941563,712.6
682,62.47908,0.845157048940833,712.6
683,62.36514,0.843615777940102,712.6
684,62.2512,0.842074506939372,712.6
685,62.13726,0.840533235938641,712.6
686,62.02332,0.838991964937911,712.6
687,61.90938,0.83745069393718,712.6
688,61.79544,0.83590942293645,712.6
689,61.6815,0.834368151935719,712.6
690,61.56756,0.832826880934989,712.6
691,61.149492,0.827171658144631,712.6
692,60.731424,0.821516435354273,712.6
693,60.313356,0.815861212563915,712.6
694,59.895288,0.810205989773557,712.6
695,59.47722,0.804550766983199,712.6
696,59.059152,0.798895544192841,712.6
697,58.641084,0.793240321402484,712.6
698,58.223016,0.787585098612126,712.6
699,57.804948,0.781929875821768,712.6
700,57.38688,0.77627465303141,712.6
701,56.273832,0.761218407596786,712.6
702,55.160784,0.746162162162162,712.6
703,54.047736,0.731105916727538,712.6
704,52.934688,0.716049671292914,712.6
705,51.82164,0.700993425858291,712.6
706,50.708592,0.685937180423667,712.6
707,49.595544,0.670880934989043,712.6
708,48.482496,0.655824689554419,712.6
709,47.369448,0.640768444119795,712.6
710,46.2564,0.625712198685172,712.6
711,44.451828,0.601301680058437,712.6
712,42.647256,0.576891161431702,712.6
